Assembly	Temperature	pH	RefLink	genome_size	L50	N50	Domain	Phylum	Class	Order	Family	Genus	Species	tax_cluster_id	NCBI_Species
GCA_000007185.1	Hyperthermophiles		https://doi.org/10.1042/bst0320269	1694969	1	1694969	Archaea	Methanobacteriota_A	Methanopyri	Methanopyrales	Methanopyraceae	Methanopyrus	Methanopyrus kandleri	190192	Methanopyrus kandleri AV19
GCA_000007225.1	Hyperthermophiles		https://pubmed.ncbi.nlm.nih.gov/19047344/	2222430	1	2222430	Archaea	Thermoproteota	Thermoproteia	Thermoproteales	Thermoproteaceae	Pyrobaculum	Pyrobaculum aerophilum	13773	Pyrobaculum aerophilum
GCA_000007305.1	Hyperthermophiles		https://bacdive.dsmz.de/strain/16854	1908256	1	1908256	Archaea	Methanobacteriota_B	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus	Pyrococcus furiosus	186497	Pyrococcus furiosus
GCA_000008545.1	Hyperthermophiles		https://bacdive.dsmz.de/strain/17060	1860725	1	1860725	Bacteria	Thermotogota	Thermotogae	Thermotogales	Thermotogaceae	Thermotoga	Thermotoga maritima	243274	Thermotoga maritima MSB8
GCA_000008645.1	Thermophiles		https://bacdive.dsmz.de/strain/6882	1751377	1	1751377	Archaea	Methanobacteriota	Methanobacteria	Methanobacteriales	Methanothermobacteraceae	Methanothermobacter	Methanothermobacter thermautotrophicus	187420	Methanothermobacter thermautotrophicus str. Delta H
GCA_000008665.1	Hyperthermophiles	Alkaliphiles	https://doi.org/10.1007/s13205-019-1693-9	2178400	1	2178400	Archaea	Halobacteriota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Archaeoglobus	Archaeoglobus fulgidus	2234	Archaeoglobus fulgidus
GCA_000009965.1	Hyperthermophiles		https://doi.org/10.1007/978-1-0716-2445-6_5	2088737	1	2088737	Archaea	Methanobacteriota_B	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus kodakarensis	69014	Thermococcus kodakarensis KOD1
GCA_000010125.1	Mesophiles		https://bacdive.dsmz.de/strain/14626	2577899	1	2516575	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus saprophyticus	29385	Staphylococcus saprophyticus
GCA_000011125.1	Hyperthermophiles		https://doi.org/10.1099/00207713-46-4-1070	1669696	1	1669696	Archaea	Thermoproteota	Thermoproteia	Sulfolobales	Acidilobaceae	Aeropyrum	Aeropyrum pernix	56636	Aeropyrum pernix
GCA_000011185.1	Thermophiles	Acidophiles	https://doi.org/10.1128/jb.178.3.902-905.1996	1584804	1	1584804	Archaea	Thermoplasmatota	Thermoplasmata	Thermoplasmatales	Thermoplasmataceae	Thermoplasma	Thermoplasma volcanium	273116	Thermoplasma volcanium GSS1
GCA_000011205.1	Hyperthermophiles		https://pubmed.ncbi.nlm.nih.gov/30304218/	2694756	1	2694756	Archaea	Thermoproteota	Thermoproteia	Sulfolobales	Sulfolobaceae	Sulfurisphaera	Sulfurisphaera tokodaii	273063	Sulfurisphaera tokodaii str. 7
GCA_000012285.1	Thermophiles	Acidophiles	https://pubmed.ncbi.nlm.nih.gov/2478523/	2225959	1	2225959	Archaea	Thermoproteota	Thermoproteia	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus acidocaldarius	2285	Sulfolobus acidocaldarius
GCA_000012305.1	Psychrophiles		https://doi.org/10.1099/ijs.0.64043-0	2650701	1	2650701	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Psychrobacter	Psychrobacter arcticus	259536	Psychrobacter arcticus 273-4
GCA_000012745.1	Thermophiles		https://bacdive.dsmz.de/strain/6143	2909809	1	2909809	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Thiobacillaceae	Thiobacillus	Thiobacillus denitrificans_B	292415	Thiobacillus denitrificans ATCC 25259
GCA_000013445.1	Mesophiles		https://bacdive.dsmz.de/strain/7132	3544738	1	3544738	Archaea	Halobacteriota	Methanomicrobia	Methanomicrobiales	Methanospirillaceae	Methanospirillum	Methanospirillum hungatei	323259	Methanospirillum hungatei
GCA_000013725.1	Psychrophiles		https://doi.org/10.1038/ismej.2009.45	2575032	1	2575032	Archaea	Halobacteriota	Methanosarcinia	Methanosarcinales	Methanosarcinaceae	Methanococcoides	Methanococcoides burtonii	259564	Methanococcoides burtonii DSM 6242
GCA_000013765.1	Mesophiles		https://www.microbiologyresearch.org/docserver/fulltext/ijsem/52/6/0522211a.pdf?expires=1677115145&id=id&accname=guest&checksum=9A4347E7FD89240A16EF15F868F657D3	4545906	1	4545906	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Shewanellaceae	Shewanella	Shewanella denitrificans	318161	Shewanella denitrificans OS217
GCA_000013905.1	Psychrophiles		https://doi.org/10.1099/ijs.0.64043-0	3101097	1	3059876	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Psychrobacter	Psychrobacter cryohalolentis	330922	Psychrobacter cryohalolentis
GCA_000014185.1	Thermophiles	Alkaliphiles	https://bacdive.dsmz.de/strain/14036	3225748	1	3225748	Bacteria	Actinobacteriota	Rubrobacteria	Rubrobacterales	Rubrobacteraceae	Rubrobacter_B	Rubrobacter_B xylanophilus	266117	Rubrobacter xylanophilus DSM 9941
GCA_000014885.1	Psychrophiles		https://doi.org/10.1099/ijs.0.64500-0	5396476	1	5396476	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Shewanellaceae	Shewanella	Shewanella piezotolerans	225849	Shewanella piezotolerans WP3
GCA_000014945.1	Thermophiles		https://doi.org/10.1099/00207713-42-3-463	1879471	1	1879471	Archaea	Halobacteriota	Methanosarcinia	Methanotrichales	Methanotrichaceae	Methanothrix_B	Methanothrix_B thermoacetophila	349307	Methanothrix thermoacetophila
GCA_000015025.1	Thermophiles	Acidophiles	https://www.atcc.org/products/43068	2443540	1	2443540	Bacteria	Actinobacteriota	Actinomycetia	Acidothermales	Acidothermaceae	Acidothermus	Acidothermus cellulolyticus	351607	Acidothermus cellulolyticus 11B
GCA_000015145.1	Hyperthermophiles		https://doi.org/10.1128/jb.172.7.3959-3965.1990	1667163	1	1667163	Archaea	Thermoproteota	Thermoproteia	Sulfolobales	Pyrodictiaceae	Hyperthermus	Hyperthermus butylicus	415426	Hyperthermus butylicus DSM 5456
GCA_000015205.1	Hyperthermophiles		https://doi.org/10.1271/bbb.120367	1826402	1	1826402	Archaea	Thermoproteota	Thermoproteia	Thermoproteales	Thermoproteaceae	Pyrobaculum	Pyrobaculum islandicum	384616	Pyrobaculum islandicum DSM 4184
GCA_000015225.1	Hyperthermophiles		https://doi.org/10.1007/s00253-009-2190-6	1813393	1	1781889	Archaea	Thermoproteota	Thermoproteia	Thermofilales	Thermofilaceae	Thermofilum_B	Thermofilum_B pendens_A	368408	Thermofilum pendens Hrk 5
GCA_000015285.1	Psychrophiles		https://doi.org/10.1099/ijs.0.64068-0	4559598	1	4559598	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Psychromonadaceae	Psychromonas	Psychromonas ingrahamii	357804	Psychromonas ingrahamii 37
GCA_000015505.1	Psychrophiles		https://pubmed.ncbi.nlm.nih.gov/14742464/	5366143	1	4410291	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Polaromonas	Polaromonas naphthalenivorans	365044	Polaromonas naphthalenivorans CJ2
GCA_000015805.1	Hyperthermophiles		https://doi.org/10.1155/2002/616075	2009313	1	2009313	Archaea	Thermoproteota	Thermoproteia	Thermoproteales	Thermoproteaceae	Pyrobaculum	Pyrobaculum calidifontis	410359	Pyrobaculum calidifontis VA1
GCA_000015825.1	Mesophiles		https://bacdive.dsmz.de/strain/7020	2478101	1	2478101	Archaea	Halobacteriota	Methanomicrobia	Methanomicrobiales	Methanoculleaceae	Methanoculleus	Methanoculleus marisnigri	2198	Methanoculleus marisnigri isolate 63_41
GCA_000015945.1	Hyperthermophiles		https://www.sciencedirect.com/science/article/pii/S0168165606008595?via%3Dihub#aep-section-id32	1570485	1	1570485	Archaea	Thermoproteota	Thermoproteia	Sulfolobales	Desulfurococcaceae	Staphylothermus	Staphylothermus marinus	399550	Staphylothermus marinus F1
