	sequence_id	Assembly	cluster_id
0	GCA_000008665.1	GCA_000008665.1	Archaea
1	GCA_000011185.1	GCA_000011185.1	Archaea
2	GCA_000012285.1	GCA_000012285.1	Archaea
3	GCA_000014185.1	GCA_000014185.1	Bacteria
4	GCA_000015025.1	GCA_000015025.1	Bacteria
5	GCA_000018305.1	GCA_000018305.1	Archaea
6	GCA_000018365.1	GCA_000018365.1	Archaea
7	GCA_000021485.1	GCA_000021485.1	Bacteria
8	GCA_000022485.1	GCA_000022485.1	Archaea
9	GCA_000022565.1	GCA_000022565.1	Bacteria
10	GCA_000024285.1	GCA_000024285.1	Bacteria
11	GCA_000025625.1	GCA_000025625.1	Archaea
12	GCA_000025665.1	GCA_000025665.1	Archaea
13	GCA_000026045.1	GCA_000026045.1	Archaea
14	GCA_000092425.1	GCA_000092425.1	Bacteria
15	GCA_000144915.1	GCA_000144915.1	Archaea
16	GCA_000145615.1	GCA_000145615.1	Bacteria
17	GCA_000148385.1	GCA_000148385.1	Archaea
18	GCA_000152265.2	GCA_000152265.2	Archaea
19	GCA_000175575.2	GCA_000175575.2	Bacteria
20	GCA_000183545.3	GCA_000183545.3	Bacteria
21	GCA_000193375.1	GCA_000193375.1	Archaea
22	GCA_000195575.1	GCA_000195575.1	Bacteria
23	GCA_000195915.1	GCA_000195915.1	Archaea
24	GCA_000196895.1	GCA_000196895.1	Archaea
25	GCA_000202835.1	GCA_000202835.1	Bacteria
26	GCA_000204925.1	GCA_000204925.1	Archaea
27	GCA_000215995.1	GCA_000215995.1	Archaea
28	GCA_000217995.1	GCA_000217995.1	Archaea
29	GCA_000219875.1	GCA_000219875.1	Bacteria
30	GCA_000223395.1	GCA_000223395.1	Archaea
31	GCA_000226295.1	GCA_000226295.1	Bacteria
32	GCA_000230715.3	GCA_000230715.3	Archaea
33	GCA_000237975.1	GCA_000237975.1	Bacteria
34	GCA_000242595.3	GCA_000242595.3	Bacteria
35	GCA_000243315.1	GCA_000243315.1	Archaea
36	GCA_000253055.1	GCA_000253055.1	Archaea
37	GCA_000255115.3	GCA_000255115.3	Bacteria
38	GCA_000317795.1	GCA_000317795.1	Archaea
39	GCA_000328685.1	GCA_000328685.1	Archaea
40	GCA_000336615.1	GCA_000336615.1	Archaea
41	GCA_000336755.1	GCA_000336755.1	Archaea
42	GCA_000336935.1	GCA_000336935.1	Archaea
43	GCA_000337135.1	GCA_000337135.1	Archaea
44	GCA_000337575.1	GCA_000337575.1	Archaea
45	GCA_000337675.1	GCA_000337675.1	Archaea
46	GCA_000337735.1	GCA_000337735.1	Archaea
47	GCA_000378345.1	GCA_000378345.1	Bacteria
48	GCA_000383975.1	GCA_000383975.1	Archaea
49	GCA_000421625.1	GCA_000421625.1	Bacteria
50	GCA_000423105.1	GCA_000423105.1	Bacteria
51	GCA_000429525.1	GCA_000429525.1	Bacteria
52	GCA_000430585.1	GCA_000430585.1	Bacteria
53	GCA_000444055.1	GCA_000444055.1	Bacteria
54	GCA_000455345.1	GCA_000455345.1	Archaea
55	GCA_000472905.1	GCA_000472905.1	Bacteria
56	GCA_000508305.1	GCA_000508305.1	Archaea
57	GCA_000615945.1	GCA_000615945.1	Bacteria
58	GCA_000632495.1	GCA_000632495.1	Archaea
59	GCA_000686525.1	GCA_000686525.1	Bacteria
60	GCA_000687875.1	GCA_000687875.1	Bacteria
61	GCA_000688455.1	GCA_000688455.1	Bacteria
62	GCA_000711975.1	GCA_000711975.1	Bacteria
63	GCA_000744825.1	GCA_000744825.1	Bacteria
64	GCA_000745905.1	GCA_000745905.1	Bacteria
65	GCA_000819445.1	GCA_000819445.1	Bacteria
66	GCA_000820505.1	GCA_000820505.1	Bacteria
67	GCA_000833605.1	GCA_000833605.1	Bacteria
68	GCA_000934745.1	GCA_000934745.1	Bacteria
69	GCA_000934755.1	GCA_000934755.1	Bacteria
70	GCA_000949295.1	GCA_000949295.1	Bacteria
71	GCA_000953475.1	GCA_000953475.1	Bacteria
72	GCA_000968535.1	GCA_000968535.1	Bacteria
73	GCA_001029285.1	GCA_001029285.1	Bacteria
74	GCA_001029445.1	GCA_001029445.1	Bacteria
75	GCA_001280565.1	GCA_001280565.1	Bacteria
76	GCA_001399675.1	GCA_001399675.1	Bacteria
77	GCA_001402945.1	GCA_001402945.1	Archaea
78	GCA_001447355.1	GCA_001447355.1	Bacteria
79	GCA_001543205.1	GCA_001543205.1	Bacteria
80	GCA_001552255.1	GCA_001552255.1	Bacteria
81	GCA_001552655.1	GCA_001552655.1	Bacteria
82	GCA_001552675.1	GCA_001552675.1	Bacteria
83	GCA_001570745.1	GCA_001570745.1	Bacteria
84	GCA_001707885.1	GCA_001707885.1	Bacteria
85	GCA_001719125.1	GCA_001719125.1	Archaea
86	GCA_001748385.1	GCA_001748385.1	Archaea
87	GCA_001758465.1	GCA_001758465.1	Bacteria
88	GCA_001761365.1	GCA_001761365.1	Bacteria
89	GCA_001971705.1	GCA_001971705.1	Archaea
90	GCA_001975665.1	GCA_001975665.1	Bacteria
91	GCA_002078355.1	GCA_002078355.1	Archaea
92	GCA_002116695.1	GCA_002116695.1	Archaea
93	GCA_002153915.1	GCA_002153915.1	Archaea
94	GCA_002156705.1	GCA_002156705.1	Archaea
95	GCA_002279355.1	GCA_002279355.1	Bacteria
96	GCA_002355395.1	GCA_002355395.1	Bacteria
98	GCA_002499975.2	GCA_002499975.2	Bacteria
99	GCA_002806945.1	GCA_002806945.1	Bacteria
100	GCA_002836945.1	GCA_002836945.1	Bacteria
101	GCA_002836975.1	GCA_002836975.1	Bacteria
102	GCA_002952775.1	GCA_002952775.1	Archaea
