	sequence_id	Assembly	cluster_id
0	GCA_000007185.1	GCA_000007185.1	Hyperthermophiles
1	GCA_000007225.1	GCA_000007225.1	Hyperthermophiles
2	GCA_000007305.1	GCA_000007305.1	Hyperthermophiles
3	GCA_000008545.1	GCA_000008545.1	Hyperthermophiles
4	GCA_000008645.1	GCA_000008645.1	Thermophiles
5	GCA_000008665.1	GCA_000008665.1	Hyperthermophiles
6	GCA_000009965.1	GCA_000009965.1	Hyperthermophiles
7	GCA_000010125.1	GCA_000010125.1	Mesophiles
8	GCA_000011125.1	GCA_000011125.1	Hyperthermophiles
9	GCA_000011185.1	GCA_000011185.1	Thermophiles
10	GCA_000011205.1	GCA_000011205.1	Hyperthermophiles
11	GCA_000012285.1	GCA_000012285.1	Thermophiles
12	GCA_000012305.1	GCA_000012305.1	Psychrophiles
13	GCA_000012745.1	GCA_000012745.1	Thermophiles
14	GCA_000013445.1	GCA_000013445.1	Mesophiles
15	GCA_000013725.1	GCA_000013725.1	Psychrophiles
16	GCA_000013765.1	GCA_000013765.1	Mesophiles
17	GCA_000013905.1	GCA_000013905.1	Psychrophiles
18	GCA_000014185.1	GCA_000014185.1	Thermophiles
19	GCA_000014885.1	GCA_000014885.1	Psychrophiles
20	GCA_000014945.1	GCA_000014945.1	Thermophiles
21	GCA_000015025.1	GCA_000015025.1	Thermophiles
22	GCA_000015145.1	GCA_000015145.1	Hyperthermophiles
23	GCA_000015205.1	GCA_000015205.1	Hyperthermophiles
24	GCA_000015225.1	GCA_000015225.1	Hyperthermophiles
25	GCA_000015285.1	GCA_000015285.1	Psychrophiles
26	GCA_000015505.1	GCA_000015505.1	Psychrophiles
27	GCA_000015805.1	GCA_000015805.1	Hyperthermophiles
28	GCA_000015825.1	GCA_000015825.1	Mesophiles
29	GCA_000015945.1	GCA_000015945.1	Hyperthermophiles
30	GCA_000016065.1	GCA_000016065.1	Psychrophiles
31	GCA_000016385.1	GCA_000016385.1	Hyperthermophiles
32	GCA_000016545.1	GCA_000016545.1	Thermophiles
33	GCA_000016605.1	GCA_000016605.1	Thermophiles
34	GCA_000016785.1	GCA_000016785.1	Hyperthermophiles
35	GCA_000017185.1	GCA_000017185.1	Mesophiles
36	GCA_000017945.1	GCA_000017945.1	Hyperthermophiles
37	GCA_000018025.1	GCA_000018025.1	Psychrophiles
38	GCA_000018285.1	GCA_000018285.1	Mesophiles
39	GCA_000018305.1	GCA_000018305.1	Hyperthermophiles
40	GCA_000018365.1	GCA_000018365.1	Hyperthermophiles
41	GCA_000018465.1	GCA_000018465.1	Mesophiles
42	GCA_000018945.1	GCA_000018945.1	Hyperthermophiles
43	GCA_000019085.1	GCA_000019085.1	Thermophiles
44	GCA_000019185.1	GCA_000019185.1	Psychrophiles
45	GCA_000019525.1	GCA_000019525.1	Psychrophiles
46	GCA_000019805.1	GCA_000019805.1	Hyperthermophiles
47	GCA_000020585.3	GCA_000020585.3	Psychrophiles
48	GCA_000020965.1	GCA_000020965.1	Thermophiles
49	GCA_000021645.1	GCA_000021645.1	Thermophiles
50	GCA_000021965.1	GCA_000021965.1	Mesophiles
51	GCA_000022205.1	GCA_000022205.1	Psychrophiles
52	GCA_000022325.1	GCA_000022325.1	Thermophiles
53	GCA_000022365.1	GCA_000022365.1	Hyperthermophiles
54	GCA_000022485.1	GCA_000022485.1	Hyperthermophiles
55	GCA_000022545.1	GCA_000022545.1	Hyperthermophiles
56	GCA_000023465.1	GCA_000023465.1	Psychrophiles
57	GCA_000023945.1	GCA_000023945.1	Mesophiles
58	GCA_000023965.1	GCA_000023965.1	Mesophiles
59	GCA_000023985.1	GCA_000023985.1	Thermophiles
60	GCA_000024285.1	GCA_000024285.1	Thermophiles
61	GCA_000024605.1	GCA_000024605.1	Thermophiles
62	GCA_000024625.1	GCA_000024625.1	Thermophiles
63	GCA_000024845.1	GCA_000024845.1	Thermophiles
64	GCA_000025325.1	GCA_000025325.1	Thermophiles
65	GCA_000025505.1	GCA_000025505.1	Hyperthermophiles
66	GCA_000025605.1	GCA_000025605.1	Thermophiles
67	GCA_000025665.1	GCA_000025665.1	Thermophiles
68	GCA_000025685.1	GCA_000025685.1	Mesophiles
69	GCA_000025865.1	GCA_000025865.1	Mesophiles
70	GCA_000026225.1	GCA_000026225.1	Mesophiles
71	GCA_000027065.2	GCA_000027065.2	Mesophiles
72	GCA_000027145.1	GCA_000027145.1	Mesophiles
73	GCA_000060285.1	GCA_000060285.1	Mesophiles
74	GCA_000091325.1	GCA_000091325.1	Psychrophiles
75	GCA_000091545.1	GCA_000091545.1	Thermophiles
76	GCA_000091665.1	GCA_000091665.1	Thermophiles
77	GCA_000092125.1	GCA_000092125.1	Thermophiles
78	GCA_000092425.1	GCA_000092425.1	Thermophiles
79	GCA_000144915.1	GCA_000144915.1	Thermophiles
80	GCA_000145215.1	GCA_000145215.1	Thermophiles
81	GCA_000145295.1	GCA_000145295.1	Thermophiles
82	GCA_000145615.1	GCA_000145615.1	Thermophiles
83	GCA_000145985.1	GCA_000145985.1	Hyperthermophiles
84	GCA_000147695.3	GCA_000147695.3	Thermophiles
85	GCA_000147875.1	GCA_000147875.1	Mesophiles
86	GCA_000148385.1	GCA_000148385.1	Hyperthermophiles
87	GCA_000148995.1	GCA_000148995.1	Mesophiles
88	GCA_000151105.2	GCA_000151105.2	Hyperthermophiles
89	GCA_000151205.2	GCA_000151205.2	Hyperthermophiles
90	GCA_000153225.1	GCA_000153225.1	Psychrophiles
91	GCA_000153485.2	GCA_000153485.2	Psychrophiles
92	GCA_000166095.1	GCA_000166095.1	Hyperthermophiles
93	GCA_000166335.1	GCA_000166335.1	Thermophiles
94	GCA_000166355.1	GCA_000166355.1	Thermophiles
95	GCA_000166775.1	GCA_000166775.1	Thermophiles
96	GCA_000172995.2	GCA_000172995.2	Thermophiles
97	GCA_000175575.2	GCA_000175575.2	Thermophiles
98	GCA_000179575.2	GCA_000179575.2	Thermophiles
99	GCA_000186365.1	GCA_000186365.1	Hyperthermophiles
100	GCA_000188055.3	GCA_000188055.3	Mesophiles
101	GCA_000188295.1	GCA_000188295.1	Mesophiles
102	GCA_000190315.1	GCA_000190315.1	Hyperthermophiles
103	GCA_000193375.1	GCA_000193375.1	Thermophiles
104	GCA_000195575.1	GCA_000195575.1	Psychrophiles
105	GCA_000195915.1	GCA_000195915.1	Thermophiles
106	GCA_000195935.2	GCA_000195935.2	Hyperthermophiles
107	GCA_000196795.1	GCA_000196795.1	Mesophiles
108	GCA_000196895.1	GCA_000196895.1	Thermophiles
109	GCA_000200715.1	GCA_000200715.1	Psychrophiles
110	GCA_000204925.1	GCA_000204925.1	Thermophiles
111	GCA_000211475.1	GCA_000211475.1	Hyperthermophiles
112	GCA_000212395.1	GCA_000212395.1	Thermophiles
113	GCA_000214415.1	GCA_000214415.1	Hyperthermophiles
114	GCA_000214725.1	GCA_000214725.1	Mesophiles
115	GCA_000215995.1	GCA_000215995.1	Hyperthermophiles
116	GCA_000217815.1	GCA_000217815.1	Thermophiles
117	GCA_000219875.1	GCA_000219875.1	Thermophiles
118	GCA_000220175.2	GCA_000220175.2	Mesophiles
119	GCA_000223395.1	GCA_000223395.1	Hyperthermophiles
120	GCA_000226295.1	GCA_000226295.1	Thermophiles
121	GCA_000234805.1	GCA_000234805.1	Hyperthermophiles
122	GCA_000235405.3	GCA_000235405.3	Thermophiles
123	GCA_000235565.1	GCA_000235565.1	Mesophiles
124	GCA_000236925.1	GCA_000236925.1	Mesophiles
125	GCA_000243255.1	GCA_000243255.1	Mesophiles
126	GCA_000243315.1	GCA_000243315.1	Thermophiles
127	GCA_000243455.2	GCA_000243455.2	Thermophiles
128	GCA_000246985.3	GCA_000246985.3	Hyperthermophiles
129	GCA_000247545.1	GCA_000247545.1	Hyperthermophiles
130	GCA_000251105.1	GCA_000251105.1	Thermophiles
131	GCA_000252125.2	GCA_000252125.2	Psychrophiles
132	GCA_000253055.1	GCA_000253055.1	Hyperthermophiles
133	GCA_000258515.1	GCA_000258515.1	Hyperthermophiles
134	GCA_000264495.1	GCA_000264495.1	Hyperthermophiles
135	GCA_000265525.1	GCA_000265525.1	Hyperthermophiles
136	GCA_000275865.1	GCA_000275865.1	Mesophiles
137	GCA_000276805.1	GCA_000276805.1	Psychrophiles
138	GCA_000298075.1	GCA_000298075.1	Mesophiles
139	GCA_000304355.2	GCA_000304355.2	Mesophiles
140	GCA_000306725.1	GCA_000306725.1	Psychrophiles
141	GCA_000306765.2	GCA_000306765.2	Thermophiles
142	GCA_000317795.1	GCA_000317795.1	Thermophiles
143	GCA_000327485.1	GCA_000327485.1	Mesophiles
144	GCA_000336615.1	GCA_000336615.1	Thermophiles
145	GCA_000336755.1	GCA_000336755.1	Thermophiles
146	GCA_000336895.1	GCA_000336895.1	Mesophiles
147	GCA_000336935.1	GCA_000336935.1	Mesophiles
148	GCA_000336995.1	GCA_000336995.1	Thermophiles
149	GCA_000337035.1	GCA_000337035.1	Mesophiles
150	GCA_000337135.1	GCA_000337135.1	Mesophiles
151	GCA_000337375.1	GCA_000337375.1	Thermophiles
152	GCA_000337475.1	GCA_000337475.1	Thermophiles
153	GCA_000337555.1	GCA_000337555.1	Mesophiles
154	GCA_000337575.1	GCA_000337575.1	Mesophiles
155	GCA_000337695.1	GCA_000337695.1	Mesophiles
156	GCA_000337735.1	GCA_000337735.1	Thermophiles
157	GCA_000337775.1	GCA_000337775.1	Thermophiles
158	GCA_000337795.1	GCA_000337795.1	Thermophiles
159	GCA_000337815.1	GCA_000337815.1	Thermophiles
160	GCA_000337915.1	GCA_000337915.1	Thermophiles
161	GCA_000338275.1	GCA_000338275.1	Mesophiles
162	GCA_000344175.1	GCA_000344175.1	Mesophiles
163	GCA_000347775.1	GCA_000347775.1	Mesophiles
164	GCA_000364845.1	GCA_000364845.1	Mesophiles
165	GCA_000368025.1	GCA_000368025.1	Mesophiles
166	GCA_000368825.1	GCA_000368825.1	Mesophiles
167	GCA_000369065.1	GCA_000369065.1	Mesophiles
168	GCA_000373145.1	GCA_000373145.1	Thermophiles
169	GCA_000373205.1	GCA_000373205.1	Thermophiles
170	GCA_000376225.1	GCA_000376225.1	Thermophiles
171	GCA_000376265.1	GCA_000376265.1	Thermophiles
172	GCA_000376425.1	GCA_000376425.1	Thermophiles
173	GCA_000378465.1	GCA_000378465.1	Thermophiles
174	GCA_000379085.1	GCA_000379085.1	Mesophiles
175	GCA_000381045.1	GCA_000381045.1	Thermophiles
176	GCA_000381745.1	GCA_000381745.1	Psychrophiles
177	GCA_000382145.1	GCA_000382145.1	Psychrophiles
178	GCA_000419685.1	GCA_000419685.1	Psychrophiles
179	GCA_000420245.1	GCA_000420245.1	Psychrophiles
180	GCA_000421625.1	GCA_000421625.1	Thermophiles
181	GCA_000421725.1	GCA_000421725.1	Thermophiles
182	GCA_000423425.1	GCA_000423425.1	Thermophiles
183	GCA_000423905.1	GCA_000423905.1	Thermophiles
184	GCA_000425165.1	GCA_000425165.1	Psychrophiles
185	GCA_000425485.1	GCA_000425485.1	Psychrophiles
186	GCA_000425505.1	GCA_000425505.1	Psychrophiles
187	GCA_000428725.1	GCA_000428725.1	Psychrophiles
188	GCA_000429345.1	GCA_000429345.1	Thermophiles
189	GCA_000429525.1	GCA_000429525.1	Thermophiles
190	GCA_000430045.1	GCA_000430045.1	Thermophiles
191	GCA_000430585.1	GCA_000430585.1	Thermophiles
192	GCA_000444055.1	GCA_000444055.1	Thermophiles
193	GCA_000446015.1	GCA_000446015.1	Hyperthermophiles
194	GCA_000455345.1	GCA_000455345.1	Thermophiles
195	GCA_000470655.1	GCA_000470655.1	Mesophiles
196	GCA_000471625.1	GCA_000471625.1	Psychrophiles
