	sequence_id	Assembly	cluster_id
0	GCA_000008665.1	GCA_000008665.1	Alkaliphiles
1	GCA_000011185.1	GCA_000011185.1	Acidophiles
2	GCA_000012285.1	GCA_000012285.1	Acidophiles
3	GCA_000014185.1	GCA_000014185.1	Alkaliphiles
4	GCA_000015025.1	GCA_000015025.1	Acidophiles
5	GCA_000018305.1	GCA_000018305.1	Acidophiles
6	GCA_000018365.1	GCA_000018365.1	Alkaliphiles
7	GCA_000021485.1	GCA_000021485.1	Acidophiles
8	GCA_000022485.1	GCA_000022485.1	Acidophiles
9	GCA_000022565.1	GCA_000022565.1	Acidophiles
10	GCA_000024285.1	GCA_000024285.1	Acidophiles
11	GCA_000025625.1	GCA_000025625.1	Alkaliphiles
12	GCA_000025665.1	GCA_000025665.1	Acidophiles
13	GCA_000026045.1	GCA_000026045.1	Alkaliphiles
14	GCA_000092425.1	GCA_000092425.1	Alkaliphiles
15	GCA_000144915.1	GCA_000144915.1	Acidophiles
16	GCA_000145615.1	GCA_000145615.1	Acidophiles
17	GCA_000148385.1	GCA_000148385.1	Acidophiles
18	GCA_000152265.2	GCA_000152265.2	Acidophiles
19	GCA_000175575.2	GCA_000175575.2	Acidophiles
20	GCA_000183545.3	GCA_000183545.3	Alkaliphiles
21	GCA_000193375.1	GCA_000193375.1	Acidophiles
22	GCA_000195575.1	GCA_000195575.1	Alkaliphiles
23	GCA_000195915.1	GCA_000195915.1	Acidophiles
24	GCA_000196895.1	GCA_000196895.1	Alkaliphiles
25	GCA_000202835.1	GCA_000202835.1	Acidophiles
26	GCA_000204925.1	GCA_000204925.1	Acidophiles
27	GCA_000215995.1	GCA_000215995.1	Acidophiles
28	GCA_000217995.1	GCA_000217995.1	Alkaliphiles
29	GCA_000219875.1	GCA_000219875.1	Acidophiles
30	GCA_000223395.1	GCA_000223395.1	Acidophiles
31	GCA_000226295.1	GCA_000226295.1	Alkaliphiles
32	GCA_000230715.3	GCA_000230715.3	Alkaliphiles
33	GCA_000237975.1	GCA_000237975.1	Acidophiles
34	GCA_000242595.3	GCA_000242595.3	Alkaliphiles
35	GCA_000243315.1	GCA_000243315.1	Acidophiles
36	GCA_000253055.1	GCA_000253055.1	Acidophiles
37	GCA_000255115.3	GCA_000255115.3	Acidophiles
38	GCA_000317795.1	GCA_000317795.1	Acidophiles
39	GCA_000328685.1	GCA_000328685.1	Alkaliphiles
40	GCA_000336615.1	GCA_000336615.1	Alkaliphiles
41	GCA_000336755.1	GCA_000336755.1	Acidophiles
42	GCA_000336935.1	GCA_000336935.1	Alkaliphiles
43	GCA_000337135.1	GCA_000337135.1	Alkaliphiles
44	GCA_000337575.1	GCA_000337575.1	Alkaliphiles
45	GCA_000337675.1	GCA_000337675.1	Alkaliphiles
46	GCA_000337735.1	GCA_000337735.1	Alkaliphiles
47	GCA_000378345.1	GCA_000378345.1	Alkaliphiles
48	GCA_000383975.1	GCA_000383975.1	Alkaliphiles
49	GCA_000421625.1	GCA_000421625.1	Acidophiles
50	GCA_000423105.1	GCA_000423105.1	Alkaliphiles
51	GCA_000429525.1	GCA_000429525.1	Acidophiles
52	GCA_000430585.1	GCA_000430585.1	Acidophiles
53	GCA_000444055.1	GCA_000444055.1	Acidophiles
54	GCA_000455345.1	GCA_000455345.1	Alkaliphiles
55	GCA_000472905.1	GCA_000472905.1	Acidophiles
56	GCA_000508305.1	GCA_000508305.1	Acidophiles
57	GCA_000615945.1	GCA_000615945.1	Alkaliphiles
58	GCA_000632495.1	GCA_000632495.1	Acidophiles
59	GCA_000686525.1	GCA_000686525.1	Alkaliphiles
60	GCA_000687875.1	GCA_000687875.1	Acidophiles
61	GCA_000688455.1	GCA_000688455.1	Acidophiles
62	GCA_000711975.1	GCA_000711975.1	Alkaliphiles
63	GCA_000744825.1	GCA_000744825.1	Alkaliphiles
64	GCA_000745905.1	GCA_000745905.1	Acidophiles
65	GCA_000819445.1	GCA_000819445.1	Alkaliphiles
66	GCA_000820505.1	GCA_000820505.1	Alkaliphiles
67	GCA_000833605.1	GCA_000833605.1	Alkaliphiles
68	GCA_000934745.1	GCA_000934745.1	Alkaliphiles
69	GCA_000934755.1	GCA_000934755.1	Alkaliphiles
70	GCA_000949295.1	GCA_000949295.1	Acidophiles
71	GCA_000953475.1	GCA_000953475.1	Acidophiles
72	GCA_000968535.1	GCA_000968535.1	Alkaliphiles
73	GCA_001029285.1	GCA_001029285.1	Acidophiles
74	GCA_001029445.1	GCA_001029445.1	Alkaliphiles
75	GCA_001280565.1	GCA_001280565.1	Acidophiles
76	GCA_001399675.1	GCA_001399675.1	Acidophiles
77	GCA_001402945.1	GCA_001402945.1	Acidophiles
78	GCA_001447355.1	GCA_001447355.1	Acidophiles
79	GCA_001543205.1	GCA_001543205.1	Alkaliphiles
80	GCA_001552255.1	GCA_001552255.1	Acidophiles
81	GCA_001552655.1	GCA_001552655.1	Acidophiles
82	GCA_001552675.1	GCA_001552675.1	Acidophiles
