	sequence_id	Assembly	Domain	pH	cluster_id	genus	species	tax_cluster_id	len
0	GCA_000008665.1	GCA_000008665.1	Archaea	Alkaliphiles	Archaea_pH	Archaeoglobus	Archaeoglobus fulgidus	2234	500000
1	GCA_000011185.1	GCA_000011185.1	Archaea	Acidophiles	Archaea_pH	Thermoplasma	Thermoplasma volcanium	273116	500000
2	GCA_000012285.1	GCA_000012285.1	Archaea	Acidophiles	Archaea_pH	Sulfolobus	Sulfolobus acidocaldarius	2285	500000
3	GCA_000014185.1	GCA_000014185.1	Bacteria	Alkaliphiles	Bacteria_pH	Rubrobacter_B	Rubrobacter_B xylanophilus	266117	500000
4	GCA_000015025.1	GCA_000015025.1	Bacteria	Acidophiles	Bacteria_pH	Acidothermus	Acidothermus cellulolyticus	351607	500000
5	GCA_000018305.1	GCA_000018305.1	Archaea	Acidophiles	Archaea_pH	Caldivirga	Caldivirga maquilingensis	397948	500000
6	GCA_000018365.1	GCA_000018365.1	Archaea	Alkaliphiles	Archaea_pH	Thermococcus	Thermococcus onnurineus	523850	500000
7	GCA_000021485.1	GCA_000021485.1	Bacteria	Acidophiles	Bacteria_pH	Acidithiobacillus	Acidithiobacillus ferrooxidans	920	500000
8	GCA_000022485.1	GCA_000022485.1	Archaea	Acidophiles	Archaea_pH	Saccharolobus	Saccharolobus islandicus	425944	500000
9	GCA_000022565.1	GCA_000022565.1	Bacteria	Acidophiles	Bacteria_pH	Acidobacterium	Acidobacterium capsulatum	240015	500000
10	GCA_000024285.1	GCA_000024285.1	Bacteria	Acidophiles	Bacteria_pH	Alicyclobacillus	Alicyclobacillus acidocaldarius	521098	500000
11	GCA_000025625.1	GCA_000025625.1	Archaea	Alkaliphiles	Archaea_pH	Natrialba	Natrialba magadii	547559	500000
12	GCA_000025665.1	GCA_000025665.1	Archaea	Acidophiles	Archaea_pH	Aciduliprofundum	Aciduliprofundum boonei	439481	500000
13	GCA_000026045.1	GCA_000026045.1	Archaea	Alkaliphiles	Archaea_pH	Natronomonas	Natronomonas pharaonis	348780	500000
14	GCA_000092425.1	GCA_000092425.1	Bacteria	Alkaliphiles	Bacteria_pH	Truepera	Truepera radiovictrix	649638	500000
15	GCA_000144915.1	GCA_000144915.1	Archaea	Acidophiles	Archaea_pH	Acidilobus	Acidilobus saccharovorans	666510	500000
16	GCA_000145615.1	GCA_000145615.1	Bacteria	Acidophiles	Bacteria_pH	Thermoanaerobacterium	Thermoanaerobacterium thermosaccharolyticum	1517	500000
17	GCA_000148385.1	GCA_000148385.1	Archaea	Acidophiles	Archaea_pH	Vulcanisaeta	Vulcanisaeta distributa	572478	500000
18	GCA_000152265.2	GCA_000152265.2	Archaea	Acidophiles	Archaea_pH	Ferroplasma	Ferroplasma acidarmanus	333146	500000
